variant,sweep,sbml_value,param_value,n_eff,R2_linear,fold_change,y_min,y_max
ox,K_R,0.022,0.022,1.6939250027984152,0.9553546074505325,2.5829126844807546,1.042197302807344,2.6919046331527188
ox,K_R,0.066,0.066,1.6769277999149061,0.9539278307331627,2.8391213722104927,2.0812424922502926,5.908900040500436
ox,K_R,0.33,0.33,1.6836832270147313,0.9550182335256393,2.98823053694929,5.5814405740344935,16.67863116349765
ox,K_R,0.44,0.44,1.6863757645654596,0.955476548202118,3.000865236883592,6.502893714913126,19.5143076882316
ox,K_R,1.32,1.32,1.6995754900006208,0.9581576861810418,2.9538881150771674,10.78919148238738,31.87006449111589
ox,K_R,2.2,2.2,1.7059095545948646,0.9598005760982404,2.8411565348522156,13.293431426656317,37.76871956845441
ox,Kd,0.01,0.0025,1.6939469288125704,0.9573099863471192,3.347369056789882,9.257069285384812,30.986827282457146
ox,Kd,0.1,0.025,1.6926554039352053,0.9569383374220766,3.2975718804714416,8.864876576257853,29.232567721717842
ox,Kd,0.75,0.1875,1.68737645216104,0.9556741215626368,3.062114803989788,6.972970534783943,21.352036302346498
ox,Kd,1.0,0.25,1.6863757645654596,0.955476548202118,3.000865236883592,6.502893714913126,19.5143076882316
ox,Kd,10.0,2.5,1.6876868725319665,0.9561582486127895,2.1955881776750172,2.8875571371454565,6.339886312677683
ox,Kd,100.0,25.0,1.6989831942870433,0.9608652937602183,1.2766367843341544,1.7636755374323556,2.251573066716454
ox,n,2.0,2.0,1.68891841465277,0.9502557508200778,2.62881136012995,8.864457253011333,23.302985928102522
ox,n,2.5,2.5,1.6863211133325076,0.9520895848264175,2.7550071523323045,7.942956973136473,21.882903271658737
ox,n,3.0,3.0,1.6857269118177514,0.9534976362081861,2.8539863328863273,7.311767536913293,20.867684619592463
ox,n,3.5,3.5,1.6858993855626594,0.9545978049819955,2.9342527285904687,6.852262397697634,20.106269637462148
ox,n,4.0,4.0,1.6863757645654596,0.955476548202118,3.000865236883592,6.502893714913126,19.5143076882316
er,K_R,0.022,0.022,1.9963270998404,0.9918234384284297,2.3953635583468764,1.0418060469970984,2.495504239842263
er,K_R,0.066,0.066,1.9740109824262888,0.9915611642648257,2.623976545104677,2.080287702686177,5.45862613891822
er,K_R,0.33,0.33,1.981640156464524,0.9918224667280654,2.7534994911836574,5.578731151662854,15.36103338755409
er,K_R,0.44,0.44,1.9847527363818114,0.9919269078438518,2.7636725767956825,6.499745894448493,17.963169484627624
er,K_R,1.32,1.32,1.9999142601886368,0.9924976172561837,2.7163100749411107,10.784342125669749,29.293617167568573
er,K_R,2.2,2.2,2.007094381663275,0.9928139888558981,2.61354470925202,13.287960556048679,34.72867900801055
er,Kd,0.01,0.0025,1.9931656779568871,0.9923359949256282,3.0643900008805773,9.25197716666531,28.351666317904588
er,Kd,0.1,0.025,1.9917287153194119,0.9922555226958297,3.0215780997074964,8.860073601499696,26.771404356088006
er,Kd,0.75,0.1875,1.9858603634636287,0.9919724999379406,2.8172496410107954,6.969504433129603,19.634833862257523
er,Kd,1.0,0.25,1.9847527363818114,0.9919269078438518,2.7636725767956825,6.499745894448493,17.963169484627624
er,Kd,10.0,2.5,1.986583724645133,0.9920792547698781,2.0526386393238747,2.886730670150088,5.925414914871373
er,Kd,100.0,25.0,1.9989806649878008,0.9930544370142408,1.241887750722311,1.7635668328426837,2.1901520472874703
er,n,2.0,2.0,1.9885967523000725,0.9905533928386657,2.4457982369637175,8.860766798875007,21.671647814835133
er,n,2.5,2.5,1.9851853873535277,0.9910618082488052,2.5540347787928797,7.93945219177826,20.27763702236503
er,n,3.0,3.0,1.9842596753790298,0.9914335541520763,2.6385979125537578,7.308409763587586,19.28395474628971
er,n,3.5,3.5,1.984306155779318,0.9917121719631402,2.707002909243128,6.849021059616519,18.540319933849368
er,n,4.0,4.0,1.9847527363818114,0.9919269078438518,2.7636725767956825,6.499745894448493,17.963169484627624
